za_nr;version;doi;lfd;gewicht;datum;bik;bl;wo;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;V1_1;V1_2;V1_3;V1_4;V1_5;V2;V3_1;V3_2;V3_3;V4;V5;V6;V7;V8_12;V8_13;V8_14;V8_15;V8_16;V8_17;V8_18;V8_19;V8_20;V8_21;V8_96;V8_97;V8_98;V8_99;V8_o;V9_12;V9_13;V9_14;V9_15;V9_16;V9_17;V9_18;V9_19;V9_20;V9_21;V9_22;V9_23;V9_24;V9_25;V9_96;V9_97;V9_98;V9_99;V9_o;V10_1;V10_2;V10_3;V10_4;V11
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;3126;3,11138;2020/06/17;100000 bis 500000;Schleswig-Holstein;West;w;77;Volks-, Hauptschule;nein;drei;drei;weiß nicht, keine Angabe;ja;keine Angabe;Festnetz;wichtig;sehr wichtig;wichtig;sehr wichtig;gar nicht wichtig;nein; ; ; ;gut;stark;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;weiß nicht, keine Angabe;weiß nicht, keine Angabe;stimme voll und ganz zu;weiß nicht, keine Angabe;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;8093;,248882;2020/06/16;100000 bis 500000;Schleswig-Holstein;West;m;77;Studium;nein;zwei;zwei;FDP;ja;2.500 bis unter 3.500 Euro;Festnetz;wichtig;wichtig;wichtig;sehr wichtig;wichtig;ja;eher zufrieden;sehr zufrieden;eher zufrieden;gut;stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Leistungsfähiger und Vorteile für die Wirtschaft;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Zu teuer;stimme voll und ganz zu;stimme eher nicht zu;stimme voll und ganz zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;10035;2,296393;2020/06/18;100000 bis 500000;Sachsen;Ost;m;40;Studium;ja;eine Person;eine Person;Die Linke;ja;1.500 bis unter 2.500 Euro;Mobilfunk;weniger wichtig;wichtig;wichtig;wichtig;wichtig;ja;eher zufrieden;sehr zufrieden;eher zufrieden;gar nicht gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Eine höhere Datenrate.;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;15248;,459393;2020/06/16;100000 bis 500000;Schleswig-Holstein;West;m;28;Abitur;ja;zwei;zwei;Die Linke;ja;3.500 Euro und mehr;Festnetz;wichtig;sehr wichtig;sehr wichtig;weniger wichtig;wichtig;ja;eher zufrieden;eher zufrieden;eher unzufrieden;weniger gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;stimme eher zu;stimme gar nicht zu;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;23970;,348312;2020/06/18;100000 bis 500000;Schleswig-Holstein;West;m;57;Abitur;nein;zwei;zwei;weiß nicht, keine Angabe;ja;3.500 Euro und mehr;Festnetz;wichtig;weniger wichtig;weniger wichtig;wichtig;wichtig;ja;sehr zufrieden;eher zufrieden;eher zufrieden;gut;stark;ja;eher gegen Ausbau mit 5G;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;Landwirtschaft und Industrie haben Vorteile. Ich hingegen persönlich nicht. Man weiss ja nicht, wie die Strahlungen sich auswirken.;genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Strahlungsintensität noch nicht erforscht. Man weiss nicht, welche Krankheiten auftreten können. Einfluss der Chinesen.;stimme eher zu;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme eher nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;49654;,237773;2020/06/18;500000 und mehr;Bayern;West;w;61;Studium;ja;zwei;zwei;Bündnis `90, Die Grünen;ja;keine Angabe;Mobilfunk;weniger wichtig;sehr wichtig;sehr wichtig;wichtig;weniger wichtig;ja;sehr zufrieden;eher zufrieden;eher unzufrieden;sehr gut;weniger stark;nein; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;60421;,240383;2020/06/16;100000 bis 500000;Schleswig-Holstein;West;w;68;Abitur;nein;zwei;zwei;Bündnis `90, Die Grünen;ja;3.500 Euro und mehr;Festnetz;sehr wichtig;wichtig;wichtig;sehr wichtig;wichtig;ja;eher zufrieden;sehr zufrieden;eher unzufrieden;weniger gut;weniger stark;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;stimme eher zu;weiß nicht, keine Angabe;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;63457;,214977;2020/06/16;500000 und mehr;Sachsen;Ost;w;69;Studium;nein;zwei;zwei;CDU/CSU;ja;2.500 bis unter 3.500 Euro;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;eher unzufrieden;gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;weiß nicht, keine Angabe;stimme voll und ganz zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;68003;4,476583;2020/06/17;20000 bis 50000;Bayern;West;m;68;Volks-, Hauptschule;nein;zwei;zwei;CDU/CSU;ja;2.500 bis unter 3.500 Euro;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;sehr wichtig;sehr wichtig;ja;eher zufrieden;eher unzufrieden;eher unzufrieden;gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Schnellere Datenverbindung;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;91842;,214811;2020/06/17;100000 bis 500000;Bayern;West;w;70;Abitur;nein;eine Person;eine Person;Bündnis `90, Die Grünen;ja;keine Angabe;Mobilfunk;sehr wichtig;sehr wichtig;sehr wichtig;weiß nicht, keine Angabe;sehr wichtig;ja;eher zufrieden;weiß nicht, keine Angabe;weiß nicht, keine Angabe;gar nicht gut;weniger stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schnellere Info;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;stimme eher zu;weiß nicht, keine Angabe;stimme eher nicht zu;stimme gar nicht zu;weiß nicht, keine Angabe
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;93808;4,56215;2020/06/17;100000 bis 500000;Niedersachsen;West;m;20;Mittlerer Bildungsabschl;nein;eine Person;eine Person; ;nein;bis unter 1.500 Euro;Mobilfunk;weiß nicht, keine Angabe;wichtig;wichtig;sehr wichtig;wichtig;ja;eher zufrieden;sehr zufrieden;sehr zufrieden;gut;stark;nein; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;103505;3,727856;2020/06/18;500000 und mehr;Baden-Württemberg;West;w;25;Abitur;nein;zwei;zwei;Bündnis `90, Die Grünen;ja;2.500 bis unter 3.500 Euro;Mobilfunk;sehr wichtig;wichtig;weniger wichtig;wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;eher unzufrieden;weniger gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;meine Hoffnung wäre das es schneller und besser wird auch im Ländlichen Gegenen;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;das der Ausbau sehr vielo Geld kostet;weiß nicht, keine Angabe;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;weiß nicht, keine Angabe
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;105405;4,050982;2020/06/17;100000 bis 500000;Schleswig-Holstein;West;m;38;Mittlerer Bildungsabschl;ja;eine Person;eine Person;weiß nicht, keine Angabe;ja;keine Angabe;Festnetz;sehr wichtig;sehr wichtig;sehr wichtig;weniger wichtig;wichtig;ja;sehr zufrieden;sehr zufrieden;eher zufrieden;weniger gut;stark;ja;weiß nicht, keine Angabe;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt; ;weiß nicht, keine Angabe;weiß nicht, keine Angabe;stimme eher zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;110359;,434799;2020/06/17;500000 und mehr;Nordrhein-Westfalen;West;w;70;Mittlerer Bildungsabschl;nein;zwei;zwei;CDU/CSU;ja;2.500 bis unter 3.500 Euro;Mobilfunk;sehr wichtig;sehr wichtig;wichtig;sehr wichtig;sehr wichtig;ja;sehr zufrieden;sehr zufrieden;eher zufrieden;gut;stark;ja;eher für Ausbau mit 5G;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;schneller Aufbau;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;stimme voll und ganz zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;nein
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;132528;,491112;2020/06/17;100000 bis 500000;Schleswig-Holstein;West;m;84;Studium;nein;zwei;zwei;weiß nicht, keine Angabe;ja;3.500 Euro und mehr;Festnetz;weniger wichtig;wichtig;weniger wichtig;wichtig;weniger wichtig;ja;sehr zufrieden;eher zufrieden;weiß nicht, keine Angabe;gut;weniger stark;ja;eher für Ausbau mit 5G;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt; ;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Nutzung der chinesichen Anbieter halte ich für problematisch.;stimme eher zu;stimme eher nicht zu;stimme eher zu;stimme gar nicht zu;weiß nicht, keine Angabe
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;143270;4,264764;2020/06/16;50000 bis 100000;Niedersachsen;West;m;28;Volks-, Hauptschule;ja;drei;zwei;weiß nicht, keine Angabe;ja;1.500 bis unter 2.500 Euro;Mobilfunk;sehr wichtig;weniger wichtig;weniger wichtig;sehr wichtig;sehr wichtig;ja;sehr zufrieden;eher unzufrieden;eher unzufrieden;gar nicht gut;stark;ja;weiß nicht, keine Angabe;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;Nur schnelles Internet, sonst keine Vorteile;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;wird nicht so funktionieren, das bisherige Netz funktioniert so schon nicht;stimme eher nicht zu;stimme gar nicht zu;stimme eher nicht zu;stimme gar nicht zu;ja
7674;1.0.0 (2021-01-02);doi:10.4232/1.13636;162394;1,511427;2020/06/16;50000 bis 100000;Baden-Württemberg;West;w;51;Mittlerer Bildungsabschl;ja;zwei;zwei;bin nicht wahlberechtigt;ja;keine Angabe;Mobilfunk;wichtig;sehr wichtig;sehr wichtig;weniger wichtig;wichtig;ja;eher unzufrieden;eher zufrieden;eher unzufrieden;gar nicht gut;stark;ja;eher gegen Ausbau mit 5G;nicht genannt;genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;ohne Ausbau der G5 die Technologien an der die Automobil Branche derzeit arbeitet, werden nicht funktionieren können.;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;nicht genannt;zu wenig erforscht.(Gesundheitsrisiko der Bevölkerung);stimme voll und ganz zu;stimme voll und ganz zu;stimme eher nicht zu;stimme gar nicht zu;nein
